SKU,LIFE SPAN,BREED SIZE,HEALTH CONDITIONS,FOOD TYPE,PRODUCT NAME,RAW PROTEIN,RAW FATS & OILS,RAW FIBER,RAW ASHES,CARBOHYDRATE(NFE),CALCIUM,PHOSP-HORUS,OMEGA-6,OMEGA-3,SODIUM,POTAS-SIUM,MAGNE-SIUM,DHA (mg/kg),EPA (mg/kg),GLUCOSA-MINE,CHONDRO-ITIN,TAURINE (mg/kg),EM (kcal/kg),EM (mj/kg)
FD0001,PUPPY,SMALL/MEDIUM,NORMAL,DRY,CHICKEN & POMEGRANATE PUPPY MINI & MEDIUM,42,22,2.3,8.6,,1.5,1,3.4,1.2,,,,0.7,0.4,1400,1100,,4556,"19,06"
FD0002,PUPPY,LARGE,NORMAL,DRY,CHICKEN & POMEGRANATE PUPPY MAXI,42,18,2.3,8.7,,1.5,1,3.3,1,,,,0.7,0.4,1400,1100,,4305,"18,01"
FD0003,ADULT,MEDIUM,NORMAL,DRY,CHICKEN & POMEGRANATE ADULT MEDIUM,37,18,2.6,7.8,,1.3,0.9,3.3,0.9,,,,0.5,0.3,1200,900,,4322,"18,08"
FD0004,ADULT,MEDIUM,NORMAL,DRY,FISH & ORANGE ADULT MEDIUM,37,18,2.6,7.8,,1.3,0.9,3,1.2,,,,0.7,0.4,1200,900,,4375,"18,30"
FD0005,PUPPY/GESTATING/BREASTFEEDING,SMALL,NORMAL,DRY,LAMB & BLUEBERRY PUPPY MINI,35,20,1.9,8.1,,1.3,0.9,3.4,0.9,,,,0.5,0.3,1400,1100,,4440,"18,57"
FD0006,PUPPY/GESTATING/BREASTFEEDING,MEDIUM/LARGE,NORMAL,DRY,LAMB & BLUEBERRY PUPPY MEDIUM & MAXI,35,20,1.9,8.1,,1.3,0.9,3.4,0.9,,,,0.5,0.3,1400,1100,,4440,"18,57"
FD0007,ADULT,SMALL,NORMAL,DRY,CHICKEN & POMEGRANATE ADULT MINI,30,18,2.9,7,,1.2,0.9,3.3,0.9,,,,0.5,0.3,1200,900,,4350,"18,20"
FD0008,ADULT,MEDIUM/LARGE,NORMAL,DRY,CHICKEN & POMEGRANATE ADULT MEDIUM & MAXI,30,18,2.9,7,,1.2,0.9,3.3,0.9,,,,0.5,0.3,1200,900,,4350,"18,20"
FD0009,ADULT,SMALL,NORMAL,DRY,LAMB & BLUEBERRY ADULT MINI,28,18,2.9,8.6,,1.4,1.1,3.3,0.9,,,,0.5,0.3,1200,900,,4250,"17,78"
FD0010,ADULT,MEDIUM/LARGE,NORMAL,DRY,LAMB & BLUEBERRY ADULT MEDIUM & MAXI,28,18,2.9,8.6,,1.4,1.1,3.3,0.9,,,,0.5,0.3,1200,900,,4250,"17,78"
FD0011,ADULT,SMALL,NORMAL,DRY,CODFISH & ORANGE ADULT MINI,30,18,2.9,7.3,,1.2,0.9,1.6,2.3,,,,1,0.7,1200,900,,4340,"18,16"
FD0012,ADULT,MEDIUM/LARGE,NORMAL,DRY,CODFISH & ORANGE ADULT MEDIUM & MAXI,30,18,2.9,7.3,,1.2,0.9,1.6,2.3,,,,1,0.7,1200,900,,4340,"18,16"
FD0013,STARTER,ALL,NORMAL,DRY,CHICKEN & POMEGRANATE STARTER PUPPY,30,22,1.1,7.5,,1.2,0.9,3.4,0.9,,,,0.5,0.3,1200,900,,4470,"18,70"
FD0014,PUPPY/GESTATING/BREASTFEEDING,SMALL,NORMAL,DRY,CHICKEN & POMEGRANATE PUPPY MINI,35,20,1.7,7.3,,1.3,0.9,3.4,0.9,,,,0.5,0.3,1400,1100,,4438,"18,57"
FD0015,PUPPY/GESTATING/BREASTFEEDING,MEDIUM,NORMAL,DRY,CHICKEN & POMEGRANATE PUPPY MEDIUM,35,20,1.7,7.3,,1.3,0.9,3.4,0.9,,,,0.5,0.3,1400,1100,,4438,"18,57"
FD0016,PUPPY/GESTATING/BREASTFEEDING,LARGE,NORMAL,DRY,CHICKEN & POMEGRANATE PUPPY MAXI,35,20,1.7,7.3,,1.3,0.9,3.4,0.9,,,,0.5,0.3,1400,1100,,4438,"18,57"
FD0017,ADULT,SMALL,NORMAL,DRY,CHICKEN & POMEGRANATE ADULT MINI,30,18,2.9,6.8,,1.2,0.9,3.3,0.9,,,,0.5,0.3,1200,900,,4346,"18,18"
FD0018,ADULT,MEDIUM,NORMAL,DRY,CHICKEN & POMEGRANATE ADULT MEDIUM,30,18,2.9,6.8,,1.2,0.9,3.3,0.9,,,,0.5,0.3,1200,900,,4646,"19,44"
FD0019,ADULT,LARGE,NORMAL,DRY,CHICKEN & POMEGRANATE ADULT MAXI,30,18,2.9,6.8,,1.2,0.9,3.3,0.9,,,,0.5,0.3,1200,900,,4346,"18,18"
FD0020,ADULT,SMALL/MEDIUM,NORMAL,DRY,CHICKEN & POMEGRANATE LIGHT MINI & MEDIUM,34,11,6.4,8.7,,1.25,0.95,2.1,0.5,,,,0.3,0.2,1200,1000,,3912,"16,37"
FD0021,ADULT,MEDIUM/LARGE,NORMAL,DRY,CHICKEN & POMEGRANATE LIGHT MEDIUM & MAXI,34,11,6.4,8.7,,1.25,0.95,2.1,1,,,,0.3,0.2,1200,1000,,3912,"16,37"
FD0022,ADULT,MEDIUM,NORMAL,DRY,CODFISH & ORANGE ADULT MEDIUM,30,18,2.9,6.9,,1.2,0.9,1.6,2.3,,,,1,0.7,1200,900,,4370,"18,28"
FD0023,ADULT,MEDIUM,NORMAL,DRY,LAMB & BLUEBERRY ADULT MEDIUM,28,18,2.9,8.2,,1.4,1.1,3.3,0.9,,,,0.5,0.3,1200,900,,4294,"17,96"
FD0024,PUPPY/GESTATING/BREASTFEEDING,LARGE,NORMAL,DRY,PUPPY MAXI CHICKEN & POMEGRANATE,35,20,1.7,7.3,,1.3,0.9,3.4,0.9,,,,0.5,0.3,1400,1100,,3923,"16,41"
FD0025,ADULT,LARGE,NORMAL,DRY,ADULT MAXI CHICKEN & POMEGRANATE,30,18,2.9,6.8,,1.2,0.9,3.3,0.9,,,,0.5,0.3,1200,900,,3800,"15,90"
FD0026,ADULT,ALL,NORMAL,DRY,POWER,32,22,1.6,7.6,,1.2,0.9,,,,,,,,,,,"4015,5","16,80"
FD0027,ADULT,ALL,NORMAL,DRY,TOP FARMINA,28.5,21.5,2,5.8,,1.2,0.9,,,,,,,,,,,"4039,5","16,90"
FD0028,PUPPY,ALL,GROWTH DISORDERS/IMMUNE SYSTEM,DRY,GROWTH CANIN,,,,,,,,,,,,,,,,,,4022,"16,83"
FD0029,ADULT,ALL,JOINT SUPPORT,DRY,JOINT CANIN,22,12,4.7,6.4,,0.65,0.6,3.8,3.4,0.3,0.6,0.1,0.55,0.38,1200,900,,3450,"14,43"
FD0030,ADULT,ALL,NUTRITIONAL RECOVERY & CONVALESCENCE,DRY,CONVALESCENCE CANIN,32,22,1.4,7.8,,1.4,1,3.1,0.4,0.35,0.7,0.1,0.15,0.1,,,,4016,"16,80"
FD0031,ALL,ALL,GASTRO-INTESTINAL DISEASE,DRY,GASTROINTESTINAL,,,,,,,,,,,,,,,,,,3490,"14,60"
FD0032,ALL,ALL,CHRONIC HEPATIC INSUFFICIENCY,DRY,HEPATIC CANIN,16,18,3,5.9,,0.9,0.65,3.3,0.7,0.25,0.7,0.085,0.2,0.15,,,,3826,"16,01"
FD0033,ALL,ALL,URINE ACIDIFICATION,DRY,STRUVITE CANIN,19.5,19,1.3,5.4,,0.8,0.5,2.7,0.35,0.25,0.6,0.06,0.15,0.1,,,,3953,"16,54"
FD0034,ADULT,ALL,LOWER URINARY TRACT,DRY,STRUVITE MANAGEMENT CANIN,19.5,19,1.3,5.4,,0.8,0.5,2.7,0.35,0.3,0.6,0.06,0.15,0.1,,,,3995,"16,71"
FD0035,ADULT,ALL,ALKALINIZATION OF URINE,DRY,OXALATE CANIN,9.5,19,1.9,3.8,,0.3,0.2,2.8,0.5,0.2,0.6,0.04,0.25,0.1,,,,3990,"16,69"
FD0036,ALL,ALL,KIDNEY DISEASE,DRY,RENAL CANIN,13.3,15,1.4,4.5,,0.6,0.25,2.8,0.5,0.15,0.6,0.06,0.25,0.1,,,,3781,"15,82"
FD0037,ADULT,ALL,CARDIAC DISORDERS,DRY,CARDIAC CANIN,24,18,3.4,6.9,,0.75,0.55,3.5,0.9,0.15,0.7,0.1,0.3,0.25,,,,3777,"15,80"
FD0038,ADULT,ALL,OBESITY,DRY,OBESITY CANIN,22,6.2,7.8,7.8,,1,0.8,1.2,0.25,0.3,0.7,0.13,0.12,0.1,,,,3000,"12,55"
FD0039,ADULT,ALL,DIABETES,DRY,DIABETIC CANIN,33,10.5,7.9,7.9,,1,0.9,2.3,0.35,0.35,0.7,0.12,0.2,1.15,,,,3210,"13,43"
FD0040,ALL,ALL,ALIMENTARY ALLERGIES & ATOPIES,DRY,ULTRAHYPO CANIN,18,15,1.2,5.3,,0.7,0.5,0.4,2.2,0.25,0.6,0.011,0.83,0.6,,,,3760,"15,73"
FD0041,ALL,ALL,ALIMENTARY INTOLERANCE,DRY,HYPOALLERGENIC FISH & POTATO CANIN,15.5,13,1.7,7.6,,0.7,0.5,0.4,2.2,0.25,1.1,0.095,0.83,0.6,,,,3562,"14,90"
FD0042,ADULT,SMALL,OBESITY/ CANINE UROLITHS,DRY,NEUTERED 1-10KG CANIN,33,10,6.2,7.9,,1.2,0.9,1.4,0.25,0.35,0.6,0.1,0.1,0.05,,,,3245,"13,57"
FD0043,ADULT,MEDIUM/LARGE,OBESITY/ CANINE UROLITHS,DRY,NEUTERED +10KG CANIN,30,11,5.2,7.8,,1.15,0.85,1.5,0.3,0.35,0.6,0.1,0.1,0.05,,,,3333,"13,94"
FD0044,ADULT,SMALL,OBESITY/GASTRO-INTESTINAL DISEASE/CANINE UROLITHS/CARDIAC DISORDERS/DIABETES/OTHER,DRY,W/D CANINE MINI WITH CHICKEN,18,8.9,16.4,,52.2,0.65,0.52,2.83,0.52,0.26,0.69,0.11,,,,,,3210,"13,43"
FD0045,ADULT,MEDIUM/LARGE,OBESITY/GASTRO-INTESTINAL DISEASE/CANINE UROLITHS/CARDIAC DISORDERS/DIABETES/OTHER,DRY,W/D CANINE WITH CHICKEN,18,8.9,16.4,,52.2,0.64,0.52,2.83,0.52,0.26,0.68,0.11,,,,,,3210,"13,43"
FD0046,ADULT,SMALL,OBESITY/GASTRO-INTESTINAL DISEASE/DIABETES/OTHER,DRY,R/D CANINE MINI WITH CHICKEN,33.9,11.5,13.4,,35,0.96,0.69,2.77,0.28,0.31,0.92,0.11,,,,,1100,3390,"14,18"
FD0047,ADULT,MEDIUM/LARGE,OBESITY/GASTRO-INTESTINAL DISEASE/DIABETES/OTHER,DRY,R/D CANINE WITH CHICKEN,33.9,11.5,13.4,,35,0.96,0.69,2.77,0.28,0.31,0.92,0.11,,,,,1100,3390,"14,18"
FD0048,ADULT,SMALL,OBESITY,DRY,METABOLIC CANINE MINI,28.4,12.4,14.5,,38.5,0.92,0.68,2.27,0.79,0.36,0.81,0.13,,,,,1161,3390,"14,18"
FD0049,ADULT,MEDIUM/LARGE,OBESITY,DRY,METABOLIC CANINE CHICKEN,28.4,12.4,14.5,,38.5,0.92,0.68,2.27,0.79,0.36,0.81,0.13,,,,,1161,3390,"14,18"
FD0050,ADULT,ALL,OBESITY/JOINT SUPPORT,DRY,METABOLIC + MOBILITY CANINE CHICKEN,27.2,15,15.7,,36,0.85,0.58,2.14,3.52,0.35,0.95,0.16,,0.38,1109,836,1370,3490,"14,59"
FD0051,ADULT,SMALL,DENTAL DISORDERS/GASTRO-INTESTINAL DISEASE/DIABETES,DRY,T/D CANINE MINI,17.6,15.6,10.1,,52.5,0.61,0.41,3.21,0.27,0.22,0.67,0.08,,,,,1236,3790,1584
FD0052,ADULT,MEDIUM/LARGE,DENTAL DISORDERS/GASTRO-INTESTINAL DISEASE/DIABETES,DRY,T/D CANINE WITH CHICKEN,17.6,15.6,10.1,,52.5,0.61,0.41,3.21,0.27,0.22,0.67,0.08,,,,,1236,3790,1584
FD0053,ADULT,SMALL,GASTRO-INTESTINAL DISEASE,DRY,I/D CANINE STRESS MINI,25.5,8.5,1.7,,58.5,0.8,0.63,2.22,0.87,0.36,0.95,0.09,,,,,1015,3660,"15,32"
FD0054,ADULT,SMALL,GASTRO-INTESTINAL DISEASE/SKIN CONDITIONS,DRY,Z/D CANINE MINI ORIGINAL,20.9,16,5,5.4,52.7,0.7,0.53,3.88,0.48,0.36,0.8,0.05,,,,,1213,3930,"16,43"
FD0055,ADULT,MEDIUM/LARGE,GASTRO-INTESTINAL DISEASE/SKIN CONDITIONS,DRY,Z/D CANINE ORIGINAL,20.9,16,5,5.4,52.7,0.7,0.53,3.88,0.48,0.36,0.8,0.05,,,,,1213,3930,"16,43"
FD0056,ALL,ALL,GASTRO-INTESTINAL DISEASE/RECOVERY,DRY,I/D CANINE SENSITIVE WITH EGG & RICE,26.4,22.2,2.1,,42.3,1.1,0.87,3.89,0.3,0.45,0.93,0.1,,,,,1011,4290,"17,95"
FD0057,ADULT,ALL,GASTRO-INTESTINAL DISEASE/SKIN CONDITIONS,DRY,D/D CANINE DUCK & RICE,17.4,15.8,1.3,,60,0.95,0.66,3.29,0.75,0.37,0.72,0.12,,,,,1022,4040,"16,92"
FD0058,ADULT,ALL,GASTRO-INTESTINAL DISEASE/SKIN CONDITIONS,DRY,D/D CANINE SALMON & RICE,16.9,14.8,1.3,,62,0.8,0.52,3.19,0.87,0.39,0.68,0.08,,,,,1022,4020,"16,83"
FD0059,ADULT,ALL,GASTRO-INTESTINAL DISEASE/OTHER,DRY,I/D CANINE LOW FAT WITH CHICKEN,25.4,8.5,1.8,,58.5,0.81,0.63,2.22,0.87,0.35,0.95,0.1,,,,,1011,3660,"15,32"
FD0060,ADULT,ALL,JOINT SUPPORT,DRY,J/D CANINE REDUCED CALORIE WITH CHICKEN,23.7,14.5,9.8,,47,0.66,0.59,2.42,3.46,0.26,0.82,0.16,,0.38,1266,875,1114,3710,"15,51"
FD0061,ADULT,SMALL,JOINT SUPPORT,DRY,J/D CANINE MINI WITH CHICKEN,19.9,16.2,5.9,,53.3,0.66,0.54,2.42,3.63,0.26,0.76,0.16,,0.42,663,348,1217,3930,"16,46"
FD0062,ADULT,ALL,JOINT SUPPORT/CARDIAC DISORDERS/KIDNEY DISEASE,DRY,K/D + MOBILITY CANINE ORIGINAL,15.6,21,2.5,4.57,56.3,0.64,0.3,3.76,3.83,0.18,0.67,0.1,,0.39,508,303,1336,4300,"17,99"
FD0063,SENIOR,ALL,BRAIN AGING,DRY,B/D CANINE WITH CHICKEN,18.8,14.9,4.6,,57,0.71,0.58,3,1.01,0.18,0.89,0.11,,,,,,3920,"16,39"
FD0064,ADULT,ALL,CANINE UROLITHS/KIDNEY DISEASE/LIVER DISORDERS,DRY,U/D CANINE ORIGINAL,10.7,20.5,2.6,,62.6,0.46,0.19,3.19,0.61,0.25,0.63,0.05,,,,,1056,4310,"18,04"
FD0065,ADULT,ALL,CARDIAC DISORDERS/KIDNEY DISEASE,DRY,K/D CANINE ORIGINAL,15.5,20.1,1.9,4.67,57.9,0.65,0.28,3.79,0.9,0.18,0.75,0.11,,,,,1349,4280,"17,90"
FD0066,ADULT,ALL,CANINE UROLITHS,DRY,C/D MULTICARE CANINE CHICKEN,21.9,16.9,2.2,,54.3,0.68,0.53,4.04,0.86,0.23,0.75,0.1,0.07,,,,1087,4100,"17,15"
FD0067,ADULT,ALL,SKIN CONDITIONS,DRY,DERM DEFENSE CANINE WITH CHICKEN,22.7,16.9,1.6,5.25,53.3,0.74,0.6,4.77,1.81,0.3,0.85,0.09,0.23,0.33,,,1586,4110,"17,19"
FD0068,ALL,ALL,LIVER DISORDERS,DRY,L/D CANINE ORIGINAL,17.6,23.9,3.5,,49.5,0.79,0.63,4.23,1.12,0.19,0.94,0.13,,,,,1058,4380,"18,32"
FD0069,ADULT,ALL,CARDIAC DISORDERS/LIVER DISORDERS/OTHER,DRY,H/D CANINE WITH CHICKEN,18,21,2.4,,54.6,0.68,0.46,4.15,0.36,0.06,0.7,0.14,,,,,1403,4320,"18,09"
FD0070,ADULT,ALL,OBESITY/GASTRO-INTESTINAL DISEASE/CANINE UROLITHS/CARDIAC DISORDERS/DIABETES/OTHER,CAN,W/D CANINE ORIGINAL CAN,18.1,12.8,11.3,,53.6,0.64,0.53,3.09,0.26,0.26,0.64,0.08,,,,,,3600,"15,06"
